Dharmarayaswamy Temple Ward,Acquired public road.
Dodda Bidarkallu,No drinking water
Govindraja Nagara,Complaints against HVR KALYANA MANTAPA
Chikkalasandra,Garbage cleaning issue
Shakthiganapathi Nagar,Dog menace
Jayangar,Rowdy behaviour by Jalbhavan security and Jalbhavan employees including Jalbhavan Chef Engineer and drivers.
Shivaji Nagar,Street Light
Pattabhiram Nagar,Issue with garbage being dumped by the BBMP contract workers itself
Adugodi,Tree fall down..
Govindraja Nagara,Piled Open Space Garbage
Uttarahalli,property tax
HAL Airport,LOUD NOISE from PANDALS in BASAVANAGAR AREA
Pulikeshi Nagar,To Cut the Branches of the Tree
Kodigehalli,Water issue
Koramangala,Sweeper not picking the garbage collected in the bag and put infront of my house everyday
Hoodi,Road blocked due to sand dumped
T-Dasarahalli,Bad condition of road
Vijinapura,Drainage blocked
Ejipura,Garbage Issue- Not being attended.
Jayamahal,Blinding constitution road black
Jayamahal,Blinding constitution road black
Horamavu,Dog Menace & Garbage Dumpage in Vacant Land Posing Danger to the Residents of Raghavendra Nagar area
J.P.Park,Closing the compliant pertaining to drainage without resolution 10781444
Shettyhalli,Frequent blockage of drainage and overflow
Bommanahalli,Ganesha sound pollution and road block
Malleshwaram,Dipiliated wall
Bagalagunte,illegal construction
Sanjay Nagar,Garbage disposal
Shanthala Nagar,Illegal and dangerous activity on DeSouza Road
Hongasandra,Vehicles parking resulted into spoiling the sapling plants at road side
Byatarayanapura,Dangerous slushy road kids fall on the roads
HSR Layout,Ganesha noise pollution
HSR Layout,Ganesha noise pollution
HSR Layout,Street light not working
Yelachenahalli,Regarding rain water drainage problems and road conjusted to drive in night
Bommanahalli,Ganesh pendal disturbing
Manorayanapalya,"Water, cleaning, street light poor facility"
HSR Layout,Blocked drianage
T-Dasarahalli,2 street lights out of functioning for last 3 weeks
Hosakerehalli,About the worst management of water supply in our area
Rajarajeshwari Nagar,Pollution due to usage of banned chemical
Herohalli,Sewage leakage
Bilekahalli,Street lights not working and Garbage van not coming
Rajarajeshwari Nagar,Reg: aplication for property Tax payment & OTP
Hoysala Nagar,"Garbage not picked on 10 ,11,12 sep"
Mangammanapalya,FULL Garbage on Road No darnej Line No Road
Benniganahalli,Closing the Drain Hole
Sri Nagar,Rights of workers/contractors to work with dignity.
Kadugudi,Owner blocking drain and constructing garden narrowing road
Jayangar,Stray menace in Jayanagar ward number 153
Mahalakshmipuram,Garbage vehicle unavailability
Doddanekkundi,Public disturbance
Sanjay Nagar,Neighbours driange water in our car parking
Bommanahalli,Drainage Block
K.R.Puram,Illegal Jelly and Sand Deposit near our home
Hemmigepura,Street Light not working
Attur,Rajakaluve deviation
Madiwala,"Dr. Jayashree running WIF hospital (No.50, 27th Main, 1st Cross. BTM Layout 1st Stage, Bangalore 560068) without BBMP REGISTRATION"
Shettyhalli,Voters id issue
Begur,Condition of Road
Vidyaranyapura,Blockage of sewage water
Mahalakshmipuram,regarding non collection of garbage since 3-4 days
Hosakerehalli,Drainage smell
Doddanekkundi,Dusty Road in Brookefield Main Road near CCD
Yelahanka Satellite,Warning Immediate action needed :BBMP name-board rules not followed
Moodalapalya,Street light not working
Agrahara Dasarahalli,Water mixed with drain
Yeshwanthpur,Waste water over flowing from adjacent hotel
Thanisandra,Street lights not working
Varthur,Khata Transfer
Ullalu,Street lights are not working
Doddanekkundi,Dumping of Garbage and Dead animals
Anjanapur,COLLECTING CASH FOR GIVING KAVERI WATER CONNECTION
HSR Layout,Garbage Clearance
BTM Layout,Garbage clearance and sweeping of leaves/ Cutting of Termite infested tree
Koramangala,garbage collection
Koramangala,garbage collection
Koramangala,garbage collection
Koramangala,garbage collection
Agrahara Dasarahalli,Garbage collector mini van always leaves residue in front of our home while collecting garbage
Agrahara Dasarahalli,Garbage collector mini van always leaves residue in front of our home while collecting garbage
Jakkasandra,In appropriate collection of Garbage
Jakkasandra,In appropriate collection of Garbage
Begur,garbage removal in royal meridian layout
Begur,Drainage leak
Begur,Drainage Water is Flooding on the Road
Begur,Overflowing Drainage/Sewage
Sudduguntepalya,Illegal Construction
Kodigehalli,IRREGULAR CLEANING OF DRAINAGE
Rajaji Nagar,street light not working from 2 months
Shettyhalli,CMC Borewell not working and no water supply from past 6 months : No actions from BBMP
BTM Layout,People making garbage dum yard in front of a home
Kengeri,Requirement for a street light #1006 1st railway parallel rd kengeri upanagar ward # 159
Kengeri,Requirement for a street light #1006 1st railway parallel rd kengeri upanagar ward # 159
Begur,Street light not working
Sudam Nagar,Garbage dumping n burning
A.Narayanapura,Wrong address update in property tax receipt
Dodda Bidarkallu,Street lights not working
Sanjay Nagar,Garbage not cleared for months
Horamavu,Road repair work not completely done since 10months
Horamavu,Road repair work not completely done since 10months
HBR Layout,"Kaveri water supply issue in HBR layout 5th bolck, 43rd cross."
Vignana Nagar,Complaint against garbage collector
Vidyaranyapura,Non cleaning of vacant sites
Chamrajpet,Sewage problem
Begur,Stray Dogs Menace
Byatarayanapura,Radium paint marking on service roads
Rajaji Nagar,Garbage issue
Singasandra,Garbage van not coming
Begur,Drainage over flow-@ 7th cross 2nd Main junction @ Akshayanagar yelenahalli Ward 192
Begur,Drainage over flow-@ 7th cross 2nd Main junction @ Akshayanagar yelenahalli Ward 192
Horamavu,Stray Dogs Menace
Horamavu,Request to Install street lamp in our street
Bellandur,"Road is missing, near Narayana school, Green Glen Layout, Bellandur"
Kammanahalli,There is lot of water scarcity in the area of rs palya
BTM Layout,Avid cutting of trees
Bellandur,No street lights
Kacharakanahalli,Irregular water supply and irregular timing for water supply
Attiguppe,Street dogs menace
Bellandur,khata registration
Sri Nagar,Cleanup of the Drainage along the sides of the Roads
Jakkur,Serious corporation water issues
C.V.Raman Nagar,Regarding waste collection
C.V.Raman Nagar,Regarding waste collection
Mahalakshmipuram,Need bmtc buses from Ravibadavne to Mahalakshmi layout
Mahalakshmipuram,Need bmtc buses from Ravibadavne to Mahalakshmi layout
Mahalakshmipuram,Need bmtc buses from Ravibadavne to Mahalakshmi layout
Radhakrishna Temple,"UN authorized construction, cutting tree, damage to road"
Devasandra,Stray dog manace--
Hoysala Nagar,Water not being supplied with pressure though it is being sent alternate days
Jeevanbhima Nagar,Street doges problem
Rajamahal,Street light repair
Kadumalleshwara,"STRRET LIGHT AT NO.294/12,14th CROSS,VYALIKAVAL,BANGALORE-560003"
Rajarajeshwari Nagar,Repairing stree light
Dr.Rajkumar Ward,Hot water not serving in restaurant
Maruthi Mandira Ward,Drainage left open in wardno. 126 Canara bank colony
Uttarahalli,Use of cheap quality plastic bags by road side vendors
HBR Layout,Improper Maintenance of Footpath and Road from many months
Horamavu,Illegal construction of a room
Yelachenahalli,Construction noise from apartment
Kammanahalli,Street light not working
K.R.Puram,Water Clog under bridge in dodanakkundi
Rajaji Nagar,Tumer in street Electrical pole makes huge noise.
Uttarahalli,garbage problem lot of mostitoes near school zone
Uttarahalli,street
K.R.Puram,No Garbage collection in last 2 weeks
Ramamurthy Nagar,"Road Condition in Hoysala Nagar 8th Main & Netaji Layout,TC Palya Main Road Ramamurthy Nagar"
Hemmigepura,REGARDING STRAY DOG IN THE CAMPUS
Hombegowda Nagar,Waste thrown on footpath and road
Marathalli,Drainage Water Overflow
Devasandra,Foot path blocked. --- Request to protect the school children.
Mathikere,Cover up following complaints to Commissioner
Devasandra,Incomplete drainage work and foot path abstructions
J.P.Nagar,Road Conditions: Sarakki Signal to Art of Living Ashram
Sanjay Nagar,Newly laid road damaged
J.P.Nagar,Asking Money to take Waste
J.P.Nagar,Asking Money to take Waste
Binnipet,Cancel trade licence for Gujari no 5 Mahalakshmi metal mart 7th cross B Street Magadi Road Bangalore 23 ii NJ ii
Binnipet,Cancel trade licence for Gujari no 5 Mahalakshmi metal mart 7th cross B Street Magadi Road Bangalore 23 ii NJ ii
Maruthiseva Nagar,Street Light
Maruthiseva Nagar,Drainage Problem
C.V.Raman Nagar,Garbage cleaning
Pulikeshi Nagar,Illegal hoarding installed on Foothpath in Bangalore East Pulkeshinagar Ward Frazer Town spencer road junction
Pulikeshi Nagar,Illegal hoarding installed on Foothpath in Bangalore East Pulkeshinagar Ward Frazer Town spencer road junction
Hampi Nagar,The one who comes for collecting garbage is not working properly demanding for money
Hoodi,Street light not working near hoodi railway station
Shankaramata,wandering of stray dogs which are not operated for birth control.
Bommanahalli,Sewage blockage
Marathalli,"Super bad Condition of Kemapapura Main rd, Kempapura , Yemalur"
Doddabommasandra,street light not working
Doddabommasandra,street light not working
Gandhi Nagar,Sewage overflowing
Thanisandra,Sudheendra Desai
Gandhi Nagar,Sewage overflowing
Gandhi Nagar,Sewage overflowing
Malleshwaram,Dumping of Garbage
Shivaji Nagar,Garbage collection
Padmanabha Nagar,"Cleaning of road,garbage collection"
Padmanabha Nagar,"Cleaning of road,garbage collection"
Begur,STRAY Dogs in my area which is danger to children and residents
Manorayanapalya,Improper Drainage cleaning
Basavangudi,Drain slab damaged
Radhakrishna Temple,"Illegal construction at 111, 6th cross, HIG Houses, RMV 2nd Stage, Dollars Colony, Bangalore 560094"
Ejipura,Dog menance
Bagalagunte,A huge pothole in the road causing accidents.
Doddanekkundi,Corrupt bbmp reddy engineer s
Byatarayanapura,Garbage Collection
Basavangudi,"Cockroach found in my food at Mc Donalds Restaurant, Gandhi Bazaar branch, Basavanagudi"
Devasandra,"Request to complete the drainage work , remove the footpath obstructions and make free way for PUBLIC."
Devasandra,Footpath obstruction and incomplete drainage work.
Devasandra,Enormous delay in completing the drainage work and causing abstractions to the pedestrians from past 4 months
Shankaramata,Misquote mannace..Please help us
Kacharakanahalli,Neighbours block our apartment gate during Ganesha festival. They must shift the pooja to other spot of the road
Jeevanbhima Nagar,STREET LIGHTS NOT WORKING
Uttarahalli,"Uttarahalli, Balaji Nagar"
Doddanekkundi,Septic Tank/drange is overflowing
Doddanekkundi,No Cleaning activity for last few months.
Yeshwanthpur,Drainage problem & noice pollution from Khodays building to Balaji Layout Public/residents
Yeshwanthpur,?????? ????? ????? - KSIT ?????? ?????? ?????? ?????? ????? ???????? CTDI ??????????????????? ???????? ????? ????.
Singasandra,Street light is not working
Singasandra,Huge Sink Hole needs immediate repair on Kudlu Main Road
Bellandur,Bad road in bellandur
Ganga Nagar,Not picking the garbage in front of the house .
Sanjay Nagar,Not cleaning the premises since 2 weeks . Why ? don't know?
BTM Layout,"Regarding improper municipal water supply in 9th Cross, 29th Main ,BTM 2nd Stage, Bangalore"
Bommanahalli,Dogs torture more
Sri Nagar,Garbage's
Bellandur,Disturbance of Wild aggressive Dogs
Gandhi Nagar,Chamber overflowing
HAL Airport,No garbage collecation
Bellandur,Road in bad condition
K.R.Puram,Garbage Dust Throwing on Road.
Horamavu,Street lights not working. Pls repair
Basavanapura,Garbage van not horning /not able to discard garbage on regular basis
C.V.Raman Nagar,Drains blocked along HAL Compound wall
Vidyaranyapura,using Plastic Cover for preparing the IDLI in many Hotels
Uttarahalli,Un Covered Drain Slab.
Uttarahalli,"Un used cable lying on road, obstructing vehicle movement."
Doddanekkundi,Not removing garbage on road from last three weeks
Kammanahalli,Exccess Property tax charged online in 17-18
Uttarahalli,Road Tarring Happy Valley Layout
Singasandra,Potholes and Bad condition of Road in Doddangamangala EC Phase2
Deepanjali Nagar,MUD & SAND ON ROAD DUE TO TRACTOR & TIPPER
Bommanahalli,Dogs issue
Giri Nagar,"GARBAGE VAN NOT CARING TO COLLECT GARBAGE FROM 2ND FLOOR ,3RD FLOOR RESIDENTS BY NOT WATING EVEN FOR 2-3 MINUTES."
Kadugudi,Legal connection for Panchayat water&-Ward 83
Ramamurthy Nagar,No water supply and no road in the locality
Singasandra,No Public COmmute on this well devloped area
Mathikere,Complaint No. BBMP/GPMS/CMT22257 dated 29 August 2018 at 12.08PM
HSR Layout,Bad road condition
Mathikere,Further corruption from Ward 36 Mathikere Bangalore in issuing khatha in respect of property through inheritance
Hanumantha Nagar,Rain water blockage in Gutter.
BTM Layout,STREET LIGHT OUT OF ORDER
HSR Layout,Road condition of Haralur Road from Prestige Ferns Residency onwards
Puttenahalli,Drainage filled and overflow
Bellandur,Need a proper road condition to commute.
Shanthi Nagar,Garbage auto not coming to pickup
Singasandra,Drainage water came inside house
Sudam Nagar,No street lights installed and installed ones not working
Chikkalasandra,Garbage thrown in vacant Site
Attur,"Drainage Overflowing in BHEL Layout, Chikkabettahalli, MS Pallya"
Jakkur,Garbage thrown in vacant site
Rajamahal,footpath encroachment- rude behavior - no shop license
Rajamahal,footpath encroachment- rude behavior - no shop license
Bellandur,Lot of aggressive dogs
Kadugudi,Mosquito Menace : Empty Plot creating Problems
Jnanabharathi Ward,Garbage Not getting cleared on a regular basis
Begur,Dangerous road conditions in Akshaya nagar
Basavanapura,Not removing garbage
Laggere,sanitary complaint
Laggere,sanitary complaint
Laggere,sanitary complaint
Laggere,sanitary complaint
Laggere,sanitary complaint
Laggere,sanitary complaint
Laggere,sanitary complaint
Kadugondanahalli,The road in front of my house have been left un noticed since a year after digging it.
Begur,Non collection of garbage
Ejipura,Street lights are not working near our house.
Hagadooru,Bad Road condition
Begur,irregular arrival of garbage collector due to which garbage is thrown at various places on the road
Vignana Nagar,Property address is not displaying in receipt
BTM Layout,No street light and Pothole Near Silkboard signal
Dodda Bidarkallu,Electrical poll street light not working since more than 2 months
T-Dasarahalli,Street lights ptoblem not resolved after raising severral remainders
K.R.Puram,Drainage blockage
Mahalakshmipuram,Garbage cleaning near JC nagar kurubarahalli
Mahalakshmipuram,Garbage cleaning near JC nagar kurubarahalli
Bapuji Nagar,De-silting of drians
Padmanabha Nagar,Parking of Garbage Bins
Sudduguntepalya,Neighbour egg and milk shop is not clean.. Citizens can't approach
Marathalli,Request regarding Garbage collection
Agrahara Dasarahalli,Street lights not switch off for whole day.
Agrahara Dasarahalli,Street lights not switch off for whole day.
Dommalur,Drainage blockage effecting school children's life.
Dommalur,Complaint raised but rejected without doing anything
Ejipura,Illigal accupation of footpath at viveknagar ejipura mainroad.
Ejipura,Illigal accupation of footpath at viveknagar ejipura mainroad.
HBR Layout,Garbage dumping.
K.R.Puram,Site full of debris and snakes
Sarakki,Street light is not working
Sarakki,Street light is not working
Varthur,Drianange water
Shanthi Nagar,Tree cutting in our residence
Shanthi Nagar,Tree cutting in our residence
Doddanekkundi,Unbearable sewage smell from gutter in front of home
Mahalakshmipuram,Unauthorized car shed construction and encroachment on sewage line (raja kaluve)
Bommanahalli,Garbage dumped at the end of the street
Sarvagna Nagar,Over flowing sewerage on Bachammal Road
Hoodi,"Property Tax 2016-17 (error: ""unable to modify the data, Active Transactions / Challan found for your application"")"
Vignana Nagar,10747156 - Erraction of name board - Reg.
HSR Layout,encroachment on drain
HSR Layout,lot of waste in out office due to bakery next to our office
BTM Layout,Construction Waste falling inside Apartment
Jeevanbhima Nagar,bad roads in jeevan bhima nagar
Vannarpet,"footpath in 2nd cross road, viveknagar post, blocked due to construction materials & DEBRIS THROWN please clear it."
Thanisandra,Bakrid non veg smelling dust in ward 06 thanisandra
Thanisandra,Bakrid non veg smelling dust in ward 06 thanisandra
Thanisandra,Bakrid non veg smelling dust in ward 06 thanisandra
Ejipura,Regarding gutter
HAL Airport,no street light since 4 months
Vishwanathnagenahalli,ROAD ASHPHALTING
Begur,"Garbage everywhere, no footpath"
Jnanabharathi Ward,Non collection of the garbage
Hampi Nagar,Vacate property is been used as dustbin
Ramamurthy Nagar,Sewage water overflowing on Road
A.Narayanapura,Catch the street dogs
Lingarajapura,Clean the garbage taken out from the gutter
Hagadooru,Garbage dumping in front of my house
Nandini Layout,Running the illegal catering
Begur,Garbage Collection Done Twice A Week
C.V.Raman Nagar,Large pit on side of road
Bharathi Nagar,Blocked drains
Benniganahalli,Commercial setup/printing press in pure residential area at kasthurinagar
Koramangala,Garbage Collection issues
Ullalu,Drainage overflow
Uttarahalli,Health issue-Foot path selling and cooking fish during 6pm to 11.30pm
Neelasandra,BBMP broke the water pipe next to our house and we don't have water for more than a month
Uttarahalli,Health issues -Foot path food seller-regarding
Hongasandra,"Error while paying Online property tax - ""Property not approved"""""
J.P.Nagar,Drainage smell in our 3RD cross Mori
Nagarabhavi,"No clean, garabge everwhere"
Jakkur,Wrong Birthdate in my daughter's and my voter id and
Chamrajpet,UN AUTHORISED HOTEL
Singasandra,Storm Water drain encroachment and illegal construction on SWD at 192/1 kudlu village Bangalore 560068
Hebbal,Garbages are falling in roads from bbmp vehicle
Shakthiganapathi Nagar,Road cutting done illegally and not fixed
Jakkur,Street lights not working
Jnanabharathi Ward,Request Road hump
Konanakunte,CHANGE OF NAME IN TAX PAID RECEIPT
Konanakunte,CHANGE OF NAME IN TAX PAID RECEIPT
C.V.Raman Nagar,Street light not working since 6 months
Shanthi Nagar,Digging of newly laid road
Kodigehalli,Uncleared tree branches
Marathalli,Garbage Collection not happening
K.R.Puram,Dogs are biteing Children
Arakere,PG being run in our apartment complex though others are facing acute water problem
Sanjay Nagar,???? complete ???????
Shettyhalli,Help required to clean drainage waster near my house
Kavalbyrasandra,not cleaning the foliage and street
Shivaji Nagar,Throwing wastages near office surroundings
Uttarahalli,Caterpillar menace around house - request for erradication
Uttarahalli,Caterpillar menace around the house - request for erradication
Vishwanathnagenahalli,Poor Roads and Maintenance causing accidents in our location.
Vishwanathnagenahalli,Poor Roads and Maintenance causing accidents in our location.
HBR Layout,GARBAGE COLLECTION
HBR Layout,GARBAGE COLLECTION
J.P.Nagar,Encroachment of foot path
J.P.Nagar,Encroachment of foot path
Marathalli,a badly maintained gym in marathahalli
Marathalli,a badly maintained gym in marathahalli
Koramangala,No garbage collection for three days
Puttenahalli,open drainage
Rajarajeshwari Nagar,Cleaning road side drains
Hoodi,"Trash being dumped on footpaths and roadside on Seetharampalya road, Hoodi"
Jakkur,Trash all over the divider in Jakkur Road
K.R.Puram,"Garbage lying near to my house ( House no 11, 1st cross shrushti layout , vijaya bank colony, Kr puram)"
BTM Layout,Garbage cleaning
C.V.Raman Nagar,Menace by KGN punture shop swami vivekananda road.
Hoysala Nagar,No reconstruction of road after installation of sewage pipes in hoysala nagar
Horamavu,Street lights
Sri Nagar,GARBAGE AND FOUL SMELL
Kacharakanahalli,drinking water mixed with drainage water
Hanumantha Nagar,No Doctor or In charge is available in avalahalli govt hospital
Uttarahalli,"Request Road hump at 3rd cross Simhadri layout, Uttarahalli-ward no 184"
Rajarajeshwari Nagar,Road hump not painted
Vidyaranyapura,Regarding heavily grown tree attached to our residence
Vasanthapura,roads dug up badly and left for 5 months unattended
Sagayapuram,COllection of waste
Sagayapuram,COllection of waste
Sagayapuram,COllection of waste
J.P.Nagar,Lot of construction noise and pollution even in the mid night till 11 PM
Bellandur,KHATA TRANSFERRED BUT NAME NOT CHANGED IN BBMP PROPERTY TAX RECEIPT-OLD PID NO: 66/1/2/3/4/67/68/5/6/7/7 0/14B
Vignana Nagar,un authorised food vendor
Hagadooru,Illegal construction
Vidyaranyapura,REQUEST YOUR QUICK ACTION TO Construction of wall to stop connecting road at Ward 9 - GKVI road to Vidyaranyapura Main road
Hoodi,"Damaged and dirty footpaths in Rajpalya, Hoodi"
Maruthiseva Nagar,Running the PG without paying taxes
Maruthiseva Nagar,Running the PG without paying taxes
Maruthiseva Nagar,Running the PG without paying taxes
Malleshwaram,Drain water leakage on road
Jnanabharathi Ward,No street light
Yelachenahalli,Storm Water Drainage Work - stealing water
Hoodi,sanitary block
Sarvagna Nagar,Water leakage
Govindraja Nagara,Garbage burning
Jakkasandra,Unscientific house built 5 floors
Hanumantha Nagar,Cutting of trees/removing of tree branches protruding to top of our houses posing danger to people walking on the Road
J.P.Nagar,Garbage near residential area
Sarvagna Nagar,Water leakage
Garudacharpalya,Pond being filled located in Mahadevapura Outer Ring Road near by Moorru Devasthana Road
Katriguppe,Parking not permitted in Achutha Arcade
Katriguppe,Parking not permitted in Achutha Arcade
Malleshwaram,Sub: Site number 635 Malleswarm Mohd. Block Right under the noses of BBMP G+5 Floors on 30/30 feet plot in Gross Violation
Varthur,Varthur Water Tankers exploiting ground-water for commercial purposes
HSR Layout,Unauthorised construction complaint number BBMP GPMS /CMT 22083 dated9.08.2018 site number should be 1879 not1885
Uttarahalli,Relocate the slum located near Uttarahalli lake.
Hagadooru,AHP woods Vijayanagar building not as per approved plan
Garudacharpalya,Road / Drainage Maintenance
Vijinapura,Drainage blocked
Konanakunte,Illigal construction
Vijinapura,Drainage blocked
HSR Layout,Unauthorised construction on site no 1885 21st main 14Across Sector 1 HSR Lay out Bangalore560102
T-Dasarahalli,Street lights not working in our road
Bellandur,Doddakanneli junction to Kadubeesanahalli road of death
Hosakerehalli,No road maintenance
Hoodi,"Garbage dumped in Rajapalya,Hoody"
Hagadooru,Stray Dogs in Vijayanagar immedhalli main road
Kumaraswamy Layout,Neighbours Harassment
Kammanahalli,Discharge of Sewage Water on Public Road
J.P.Nagar,Street Light Not Working Complaint letter for the poor condition of streets lights.
Rajarajeshwari Nagar,"Relaying of Asphalted Roads in and around BET Convent, R.R.Nagar"
Singasandra,Cauveri Water Pipe
Singasandra,Request to catch Street Dogs
Vignana Nagar,SHIFTING SIGN = Reg.
Vignana Nagar,SHIFTING SIGN = Reg.
Gayathri Nagar,Property Tax not updated
Chamrajpet,"drain water flowing on road, and road full damage"
Marathalli,Drainage is open in marathalli main road
Vignana Nagar,Garbage complaint.
BTM Layout,Request to collect garbage every day
Chowdeshwari,Propert tax paid twice via online
Hagadooru,PID number still not allocated
Yeshwanthpur,Water scarcity in BEL layout
Yeshwanthpur,Water scarcity in BEL layout 1st stage
Yeshwanthpur,Water scarcity in BEL layout 1st stage
Nagavara,drainage water on road
Hoodi,"Property Tax : 2016-17 Error : unable to Modify the Data,Active Transaction/Challan found for your application"
Moodalapalya,"Problems Facing on thar road pathholes, Street dogs biting and tree is less"
Bharathi Nagar,Drainage over flowing
HSR Layout,Very dangerous unfinished rain water drain.
HSR Layout,Very dangerous unfinished rain water drain.
Hebbal,Problem with garbage collection
Singasandra,Chamber water issue
Shakthiganapathi Nagar,????? ???? ??????? ?????? ?????
Kadugudi,Garbage collection not happening daily due to more pollution in this area
Devasandra,Street light not working
Devasandra,Street light not working
Konanakunte,Street light not working
Konanakunte,Street light not working
HAL Airport,Garbage on road
Basavanapura,REMOVE GARBAGE
Agrahara Dasarahalli,Garbage is not cleared in front of house from 2 weeks
Agrahara Dasarahalli,Grabage is not cleared from past 2 weeks
Chikkalasandra,Main Drainage pipe broken
Bommanahalli,mocking swachh Bharat abhiyan
Bellandur,Road missing
Hemmigepura,Street lights
HBR Layout,"Drainage Issue In Chalkere Village, Kalyan Nagar"
Attur,Drainage water flowing out on road
Vignana Nagar,SHIFTING NAME BOARD
Vignana Nagar,SHIFTING NAME BOARD
Hanumantha Nagar,Removing/cutting of trees
Hanumantha Nagar,Removing/Cutting of trees
Puttenahalli,Garbage on road
Byatarayanapura,non collection of garbage regularly
Bellandur,NO STREET LIGHTS in Haralur road
Jayachamarajendra Nagar,Illigal dance classes without getting NOC from neighbour and creating nuisance.
Rajarajeshwari Nagar,Needs to put Hump reflectors in Ring-Road near Nagarbhavi.
Mangammanapalya,Somasundarpalya main road not drivable due to BBMP concrete drain top is 1 ft high from main road and sides are eroding
Bommanahalli,drainage
Sampangiram Nagar,Mosquitoes and rats in 1st main road
Hanumantha Nagar,Cutting /removing trees
Hanumantha Nagar,Cutting trees
Banasawadi,Road Caved in - Complained to Mallinath mobile # 9448699075
Banasawadi,Road Caved in - Complained to Mallinath mobile # 9448699075
K.R.Puram,Road side food vendor
Ganeshmandira Ward,garbage collection
HSR Layout,Disturbance due to street DOGS barking and hauling across the night
Bellandur,Unable to get Base Application Number and PID for my property in Rohan Jharoka 2
Basaveshwara Nagar,Road Cutting issue
Shanthi Nagar,drainge problam road cutting
Gottigere,Trash/Garbage burning at Doddakammanahalli creating hazardous atmosphire in surrounding area
Dommalur,Banner advertisement pole removal
C.V.Raman Nagar,Clearing of confemned & abandoned cars on Road 6th A off GM Palya main road
Hoodi,UGD BLOCKED
Shanthi Nagar,Mosquito's spreading vital disease 2 have fell ill since last 1 week
Shanthi Nagar,Mosquito's spreading vital disease 2 have fell ill since last 1 week
Shanthi Nagar,Mosquito's spreading vital disease 2 have fell ill since last 1 week
Basavangudi,Road side tree cutting
Basavangudi,Road side tree cutting
Uttarahalli,Dog kennel nearby my home
Madiwala,Kindly restrict road side vegetable vendors
Chamrajpet,UN AUTHORAISED BHOJANA SHALA CAUSING HEALTH ISSUES
Bommanahalli,Garbage dump clearance
Peenya Industrial Area,****Urgently required help ****
Herohalli,WATER SUPPLY IS NOT AVAILABLE
J.P.Nagar,Street lighting + snakes + garbage
