availability,size,total_sqft,bath,balcony,Pincode,price
21,2,1550,2,2,573201,75
21,2,1418,2,2,573201,101
21,2,1655,3,2,573201,115
21,2,1115,2,2,573201,33.45
21,2,1170,2,2,572106,68
21,2,1035,2,2,572106,38.3
21,2,1306,2,2,572106,58
21,2,750,2,2,572106,22
21,2,1917,3,3,572106,122
21,2,1615,3,3,572106,58
21,2,1071,2,2,572106,52.25
21,2,1325,2,2,572106,119
21,2,3000,4,2,572106,900
21,2,1400,2,1,572106,88
21,2,1246,2,1,572106,82
21,2,1215,2,0,572106,40
21,2,1200,2,2,572106,49.5
21,2,450,3,1,572106,53
21,2,1200,2,2,572106,60
21,2,945,2,2,572106,50
21,2,4460,5,0,572106,650
21,2,1175,2,1,572106,52
21,2,920,2,1,572106,63
21,2,3024,5,1,572106,350
21,2,1600,2,2,572106,110
21,2,750,2,0,572106,110
21,2,2400,4,0,572106,700
21,2,955,1,2,572106,34.01
21,2,1750,3,3,572106,100
21,2,1425,2,2,572106,64
21,2,2150,3,2,572106,265
21,2,1165,2,1,572106,40.5
21,2,1050,2,2,572106,48
21,2,1370,2,2,572106,75
21,2,1374,2,1,572106,72
22,2,1754,3,2,572106,124
22,2,1847,3,2,572106,110
22,2,1850,4,3,571314,139
22,2,3297,3,1,571235,135
22,2,1187,2,2,571235,45
22,2,1400,2,1,571235,40.44
22,2,600,2,0,571235,30
22,2,1350,2,3,571235,180
22,2,3000,2,2,571235,120
22,2,693,1,1,570023,34.3
22,2,1980,3,2,570023,224
22,2,1021,2,1,570023,48
22,2,1165,2,2,570023,95
22,2,1756,3,2,570023,92
22,2,1739,3,1,570023,105
22,2,1280,2,0,570023,65
22,2,1215,2,2,570023,58.86
22,2,950,2,1,570023,46.5
22,2,1082,2,1,570023,49
22,2,1050,2,1,563130,42
22,2,1080,2,0,563103,53.35
22,2,1100,2,2,563103,55
22,2,3200,4,1,563103,205
22,2,1311,2,1,563103,78
22,2,1608,3,1,563103,67.98
22,2,1160,2,2,563103,36
22,2,1170,2,1,563103,71
22,2,1155,2,2,562157,40.6
22,2,1255,2,1,562157,77.68
22,2,1065,2,2,562157,44.95
22,2,674,1,1,562157,21
22,2,1936,4,2,562157,126
22,2,2289,3,2,562157,260
22,2,1100,2,1,562157,38.45
22,2,2257,4,2,562157,157
22,2,1055,2,2,562157,55
22,2,1530,3,3,562149,51.87
22,2,1700,3,1,562149,97
22,2,1575,2,2,562149,78
22,2,3500,4,2,562149,330
22,2,1263,2,1,562149,93.32
22,2,1043,2,2,562149,65
22,2,1255,2,2,562149,53.5
22,2,590,1,0,562149,13.57
22,2,1550,3,1,562130,120
22,2,1220,3,3,562125,56
22,2,1900,3,3,562125,160
22,2,1360,3,3,562125,55
22,2,1100,2,1,562125,75
18,2,1455,3,2,562125,73.31
18,2,1035,2,1,562125,40.5
18,2,1152,2,2,562125,69
18,2,1299,2,2,562125,82
18,2,1157,2,1,562125,75
18,2,1050,2,2,562125,52.5
18,2,1050,2,2,562125,40
18,2,1246,2,1,562125,67.4
18,2,1929,3,2,562125,115
18,2,1285,2,1,562125,60
18,2,1200,2,0,562125,65
18,2,3161,4,3,562125,214
18,2,1850,3,0,562125,170
18,2,1025,2,0,562125,37
18,2,1124,3,2,562125,80
18,2,1012,2,1,562125,54.59
18,2,4500,5,3,562125,250
18,2,871,2,2,562125,55
18,2,1020,2,2,562125,40
18,2,1550,3,3,562125,73.5
18,2,3515,3,1,562125,420
18,2,1410,2,2,562125,80
18,2,3500,5,3,562125,150
18,2,1118,2,1,562125,75
18,2,1098,2,1,562125,68
18,2,1130,2,1,562125,45.2
18,2,1145,2,2,562125,75
18,2,950,3,1,562125,80
18,2,1051,2,1,562125,33
18,2,600,7,0,562125,108
18,2,1102,2,2,562125,53.67
18,2,1478,2,2,562125,125
18,2,645,1,1,562125,16.45
18,2,823,2,1,562125,50.63
18,2,880,2,1,562125,35
18,2,600,5,2,562125,75
18,2,1991,4,2,562125,100
18,2,1100,3,1,562125,50
18,2,1745,3,2,562125,115
18,2,1226,3,1,562125,135
18,2,680,4,1,562125,68
18,2,1100,2,1,562125,70
18,2,1200,4,3,562125,195
18,2,1450,2,1,562125,58
18,2,3366,4,0,562125,120
18,2,1150,2,1,562125,54
18,2,1843,3,2,562125,95.84
18,2,2200,4,2,562125,195
18,2,1090,3,2,562125,44
18,2,1132,2,2,562125,42
18,2,1375,2,2,562125,80
18,2,1500,5,3,562125,220
18,2,760,1,2,562125,50.3
18,2,1180,2,2,562125,65
18,2,918,2,2,562125,45
18,2,600,5,0,562125,50
18,2,1200,1,0,562125,53
18,2,1372,2,1,562125,61
18,2,2400,7,3,562125,355
18,2,1728,3,2,562125,95
18,2,2215,3,1,562125,275
18,2,1200,2,2,562125,80
18,2,1280,2,0,562125,56
18,2,800,4,0,562125,110
18,2,1455,2,2,562125,56
18,2,440,1,0,562125,28
18,2,1500,3,2,562125,97
18,2,1800,3,0,562125,110
18,2,1525,3,2,562125,96
18,2,1204,2,3,562125,38.5
18,2,1225,2,1,562125,53.55
18,2,800,6,3,562125,98
18,2,1650,3,0,562125,122
18,2,880,2,1,562125,18
18,2,4200,4,2,562125,255
18,2,1200,2,0,562125,55
18,2,1152,4,1,562125,230
18,2,1005,2,1,562125,42
18,2,1562,3,2,562125,103
18,2,5000,5,2,562125,395
18,2,810,5,2,562125,95
18,2,1200,2,3,562125,42
18,2,1555,3,2,562125,82.5
18,2,1550,2,1,562125,71
18,2,1190,2,2,562125,67
18,2,1070,2,2,562125,50
18,2,1020,2,1,562125,42.48
18,2,1610,3,1,562125,115
18,2,700,1,1,562125,41
18,2,1300,2,1,562125,49
18,2,1420,2,1,562125,123
18,2,1200,9,2,562125,100
18,2,1069,3,2,562125,65.4
18,2,1900,3,3,562125,123
18,2,1655,2,1,562125,97.65
18,2,1155,2,2,562125,40.42
18,2,1300,2,2,562125,70
18,2,1100,2,2,562125,45
18,2,1030,2,2,562125,42
18,2,2105,2,1,562125,70.2
18,2,1700,3,2,562125,126
18,2,1760,3,2,562125,139
18,2,6200,9,0,562125,200
18,2,1400,2,1,562125,67
18,2,1200,2,0,562125,53
18,2,912,2,1,562125,55
18,2,1102,2,1,562125,48
18,2,1535,3,1,562125,55
18,2,1243,2,2,562125,46
18,2,918,2,2,562125,63.2
18,2,1500,2,3,562125,70
18,2,3000,3,0,562125,250
18,2,1476,3,0,562125,89
18,2,1200,2,3,562125,65
18,2,606,1,0,562125,34.78
18,2,1100,2,3,562125,61
18,2,1295,2,1,562125,59.5
18,2,527,1,0,562125,26
18,2,1300,2,2,562125,80
18,2,680,4,1,562125,68
18,2,1260,1,0,562125,41
18,2,1140,2,1,562125,75.2
18,2,1500,1,0,562125,37.5
18,2,2321,4,1,562125,128
18,2,1390,2,2,562125,62
18,2,1725,3,3,562125,90
18,2,3067,4,1,562125,310
18,2,1186,2,1,562125,63
18,2,1230,2,1,562125,85
18,2,600,1,1,562125,17
18,2,1313,3,1,562125,96
18,2,900,2,0,562125,55
18,2,1250,2,2,562125,66.25
18,2,1200,6,3,562125,280
18,2,660,1,1,562125,54
18,2,1036,2,2,562125,105
18,2,2700,4,3,562125,450
18,2,1100,2,1,562125,70
18,2,1500,2,1,562125,450
18,2,525,5,2,562125,56
18,2,1015,2,1,562125,56
18,2,812,1,0,562125,26
18,2,1360,2,2,562125,65
18,2,2167,3,3,562125,170
18,2,1200,2,1,562125,35
18,2,1165,2,2,562125,75
18,2,1274,2,2,562125,70
18,2,1151,2,2,562125,39.02
18,2,1060,6,3,562125,110
18,2,1626,2,2,562125,120
18,2,1035,2,2,562125,35.77
18,2,1272,4,0,562125,75
18,2,965,2,1,562125,45
18,2,1600,5,2,562125,140
18,2,1070,2,1,562125,42.79
18,2,1570,2,2,562125,65
18,2,780,2,2,562125,25
18,2,1000,2,1,562125,65
18,2,1200,3,2,562125,188
18,2,7500,7,2,562125,400
18,2,1700,2,3,562125,100
18,2,1850,3,0,562125,110
18,2,904,2,1,562125,30
18,2,1121,2,1,562125,43.72
18,2,1385,2,2,562125,58.17
18,2,1270,2,1,562125,69.85
18,2,1450,3,3,562125,56
18,2,2400,4,2,562125,325
18,2,730,1,1,562125,35
18,2,1580,3,3,562125,53.56
18,2,1111,2,1,562125,50
18,2,1125,2,1,562125,88
18,2,977,2,2,562125,36
18,2,674,1,1,562125,19.9
18,2,600,3,1,562125,83
18,2,2540,4,1,562125,115
18,2,1290,2,1,562125,100
18,2,600,3,1,562125,98
18,2,795,2,1,562125,32.54
18,2,700,1,1,562125,35
18,2,1463,1,1,562125,142
18,2,1000,3,0,562125,140
18,2,1306,2,2,562125,58
18,2,2401,3,2,562125,185
18,2,1670,3,0,562125,135
18,2,1875,2,3,562125,235
18,2,1200,3,1,562125,90
18,2,1804,3,2,562125,121
18,2,2065,4,1,562125,210
18,2,1225,3,1,562125,40
18,2,900,2,2,562125,56
18,2,1350,2,1,562125,91
18,2,700,1,0,562125,36
18,2,1160,2,1,562125,46.39
18,2,1680,3,0,562125,99.27
18,2,1043,2,2,562125,55
18,2,1200,4,1,562125,120
18,2,1040,2,2,562125,46
18,2,1357,2,2,562125,65
18,2,1600,7,1,562125,104
18,2,1225,2,2,562125,47
18,2,1500,6,1,562125,80
18,2,1130,2,2,562125,40
18,2,2500,4,1,562125,150
18,2,1700,3,3,562125,120
18,2,1549,3,2,562125,65
18,2,1400,2,2,562125,100
18,2,1080,2,2,562125,50
18,2,1180,2,2,562125,100
18,2,780,7,3,562125,150
18,2,1800,3,2,562125,150
18,2,1225,2,1,562125,67.38
18,2,890,1,1,562125,75
18,2,1005,2,1,562125,39.59
18,2,1320,2,1,562125,95
18,2,1475,2,1,562125,50
18,2,1110,2,2,562125,51
18,2,1300,2,0,562125,54
18,2,600,3,1,562125,86
18,2,1128,2,1,562125,65.35
18,2,1452.19,2,1,562125,100
18,2,2400,3,2,562125,290
18,2,2600,4,1,562125,135
18,2,2500,4,2,562125,325
18,2,630,1,1,562125,35
18,2,1243,2,2,562125,48.5
18,2,960,2,2,562125,32
18,2,1690,3,2,562125,100
18,2,735,2,1,562125,35
18,2,1365,2,2,562125,73
18,2,2849,5,0,562125,300
18,2,1420,2,1,562125,99.39
18,2,1570,3,3,562125,68
18,2,850,1,1,562125,32
18,2,1575,2,2,562125,110
18,2,1418,2,2,562125,104
18,2,1050,2,1,562125,42
18,2,1065,2,1,562125,42.6
18,2,1340,3,0,562125,90
18,2,1610,3,2,562125,92
18,2,1160,2,1,562125,33.5
18,2,1092,2,2,562125,44
18,2,1194,2,2,562125,47
18,2,1455,3,1,562125,61.5
18,2,734,1,0,562125,19.82
18,2,799,2,1,562125,38
18,2,1896,3,1,562125,75
18,2,1100,2,1,562125,48
18,2,1350,2,1,562125,79
18,2,1355,3,1,562125,61
18,2,1128,2,1,562125,65
18,2,1350,2,0,562125,90
18,2,3875,3,2,562125,864
18,2,1493,3,2,562125,82
18,2,1098,2,1,562125,43.91
18,2,1900,2,1,562125,170
18,2,1460,3,2,562125,88
18,2,2350,4,3,562125,285
18,2,1600,5,3,562125,140
18,2,1091,2,1,562125,32
18,2,1180,2,3,562125,42
18,2,1366,3,1,562125,76.85
18,2,1685,3,2,562125,95
18,2,1260,2,3,562125,100
18,2,3010,3,2,562125,200
18,2,1330,4,1,562125,140
18,2,1200,2,0,562125,130
18,2,1346,2,1,562125,96.17
18,2,630,1,0,562125,13.86
18,2,1850,3,2,562125,140
18,2,2350,2,0,562125,423
18,2,755,1,1,562125,34
18,2,800,5,2,562125,98
18,2,1194,2,2,562125,46
18,2,3850,5,0,562125,316
18,2,4235,4,2,562125,365
18,2,800,1,0,562125,52
18,2,2250,3,1,562125,195
18,2,1352,2,2,562125,68
18,2,2002,3,2,562125,112
18,2,4000,5,1,562125,280
18,2,1060,2,2,562125,45
18,2,1419.59,2,1,562125,59
18,2,1196,2,2,562125,51.15
18,2,1220,2,2,562125,35.24
18,2,1595,3,2,562125,75
18,2,1260,2,3,562125,75
18,2,1100,2,2,562125,47
18,2,1550,2,2,562125,140
18,2,1180,2,3,562125,52
18,2,4000,5,1,562125,150
18,2,1662,3,2,562125,85
18,2,1285,2,1,562125,60
18,2,1080,4,1,562125,75
18,2,1862,3,2,562125,119
18,2,1419,2,2,562125,48
18,2,1410,3,2,562125,43.71
18,2,1560,2,2,562125,62.4
18,2,1100,4,3,562125,150
18,2,1634,3,3,562125,78
18,2,5530,5,3,562125,627
18,2,1150,2,3,562125,44
18,2,1100,2,0,562125,53
18,2,1616,3,1,562125,65
18,2,1392,2,1,562125,99
18,2,1798,3,1,562125,120
18,2,1675,3,3,562125,75
18,2,792,2,1,562125,70
18,2,2000,4,1,562125,103
18,2,600,7,3,562125,89
18,2,1700,3,2,562125,124
18,2,1248,2,1,562125,69
18,2,1147,2,1,562125,54
18,2,1100,2,2,562125,40
18,2,1527,3,2,562125,115
18,2,2400,5,2,562125,235
18,2,525,1,1,562125,25
18,2,1100,2,3,562125,58
18,2,1118,2,2,562125,37.5
18,2,1476,3,1,562125,75
18,2,2100,3,1,562125,75
18,2,1215,2,2,562125,46.5
18,2,1332,2,1,562125,79
18,2,1350,2,3,562125,49
18,2,600,4,1,562125,81
18,2,1243,2,2,562125,46
18,2,1105,2,2,562125,49.73
18,2,1500,2,1,562125,200
18,2,1200,2,2,562125,50
18,2,1251,2,1,562125,47.4
18,2,883,2,1,562125,45
18,2,1400,2,3,562125,67
18,2,1800,3,3,562125,260
18,2,1703,3,2,562125,113
18,2,2500,5,3,562125,130
18,2,1250,3,0,562125,71
18,2,933,2,2,562125,43
18,2,461.82,1,1,562125,31.7
18,2,1262,2,1,562125,75
18,2,915,2,2,562125,48
18,2,1370,2,2,562125,61.5
18,2,1210,2,3,562125,55
18,2,2392,4,2,562125,260
18,2,1500,2,0,562125,85
18,2,1065,2,3,562125,50
18,2,3100,4,2,562125,570
18,2,1515,3,3,562125,65
18,2,1800,4,0,562125,110
18,2,1445,2,3,562125,40.31
18,2,1300,2,1,562125,55
18,2,989,2,0,562125,60
18,2,1300,2,1,562125,85
18,2,1185,2,2,562125,30.22
18,2,1350,3,1,562125,110
18,2,1045,2,3,562125,60
18,2,1205,2,2,562125,42.18
18,2,1260,2,1,562125,75
18,2,1320,5,2,562125,199
18,2,1500,2,2,562125,125
18,2,1250,2,2,562125,42.5
18,2,1199,2,2,562125,50
18,2,1385,2,1,562125,83.09
18,2,1222,5,3,562125,250
18,2,1149,2,1,562125,75
18,2,2180,3,2,562125,170
18,2,1200,7,1,562125,110
18,2,12000,12,0,562125,525
18,2,1200,5,0,562125,195
18,2,1818,3,1,562125,135
18,2,1070,2,2,562125,33
18,2,1640,3,2,562125,241
18,2,1350,2,2,562125,54.6
18,2,630,1,1,562125,27
18,2,1430,2,2,562125,113
18,2,2430,4,3,562125,180
18,2,1500,7,3,562125,220
18,2,1084,2,3,562125,55
18,2,1186,2,1,562125,56
18,2,1255,2,2,562125,50
18,2,3400,5,3,562125,240
18,2,1541,3,1,562125,69.84
18,2,3596,5,1,562125,282
18,2,1295,2,2,562125,70
18,2,1000,4,3,562125,110
18,2,2820,3,0,562125,285
18,2,1370,2,2,562125,54.79
18,2,1100,2,1,562125,40
18,2,4772,6,2,562125,510
18,2,1370,2,1,562125,170
18,2,1370,2,1,562125,54.79
18,2,1200,2,2,562125,62
18,2,2000,3,0,562125,95
18,2,3500,4,0,562125,300
18,2,1200,4,3,562125,240
18,2,2400,5,2,562125,253
18,2,1220,3,2,562125,62
18,2,1950,3,2,562125,130
18,2,1178,2,3,562125,73
18,2,1286,3,2,562125,61.44
18,2,1160,2,2,562125,42
18,2,918,2,2,562125,55
18,2,1563,3,2,562125,91.84
18,2,1326,2,1,562123,62.17
18,2,1350,2,2,562123,140
18,2,3960,5,3,562123,386
18,2,1240,2,2,562123,39.06
18,2,1325,2,2,562123,50
18,2,1100,2,1,562123,44
18,2,3875,3,2,562123,800
18,2,1605,3,2,562123,50
18,2,5600,5,3,562123,515
18,2,1260,2,1,562123,60
18,2,1553,3,2,562123,83.09
18,2,1280,2,2,562123,52
18,2,1550,2,2,562123,75
18,2,1445,2,2,562123,125
18,2,1550,3,2,562123,74
18,2,1515,2,1,562123,80.91
18,2,1332,2,1,562123,86.12
18,2,1652,3,2,562123,70
18,2,1570,3,1,562123,105
18,2,5400,4,3,562123,725
18,2,794,1,1,562123,60
18,2,1200,2,0,562123,62
18,2,3600,3,2,562123,410
18,2,1200,3,2,562123,175
18,2,1650,3,1,562123,220
18,2,600,2,1,562123,85
18,2,2800,3,2,562123,250
18,2,1750,3,2,562123,110
18,2,1053,2,1,562123,48
18,2,1100,3,2,562123,53
18,2,1665,3,3,562123,70
18,2,4051,4,3,562123,345
18,2,5500,5,1,562123,1500
18,2,1447,3,2,562123,80
18,2,1012,2,1,562117,75
18,2,1900,3,2,562117,60
18,2,1308,2,2,562117,92.66
18,2,3250,4,0,562117,230
18,2,1351,2,1,562117,53
18,2,1000,2,2,562117,22
18,2,1200,4,2,562117,350
18,2,1140,2,2,562117,49.11
18,2,1250,2,1,562117,55
18,2,1290,3,3,562117,45.15
18,2,1424,2,2,562117,90
18,2,1320,2,2,562117,60.6
18,2,1662,3,2,562117,85.5
18,2,8321,5,3,562117,2700
18,2,1200,2,2,562117,45
18,2,1975,3,0,562117,210
18,2,1295,2,2,562117,59.5
18,2,1777,3,2,562117,100
18,2,1900,3,0,562117,108
18,2,1576,3,2,562117,59.1
18,2,1020,2,3,562117,41
18,2,2100,3,3,562117,170
18,2,648,1,1,562117,31.75
18,2,1167,2,1,562117,38
18,2,1000,7,3,562117,160
18,2,1220,2,2,562117,50.89
18,2,2350,5,1,562117,327
18,2,1259,2,1,562117,67.4
18,2,2000,4,2,562117,82
18,2,1800,3,1,562117,80
18,2,1991,3,2,562117,160
18,2,1665,3,3,562117,110
18,2,1234,2,1,562117,61
18,2,1340,2,2,562117,64.31
18,2,1170,2,2,562117,46.79
18,2,995,2,0,562117,46
18,2,1075,2,2,562117,60
18,2,1025,2,1,562117,54.5
18,2,2721,3,2,562117,113
18,2,2000,3,2,562117,99
18,2,2500,4,3,562117,155
18,2,1325,2,2,562112,70
18,2,1314,2,3,562112,68.2
18,2,2265,3,2,562112,136
18,2,4800,7,0,562110,170
18,2,1026,2,1,562110,41
18,2,1200,3,2,562110,66
18,2,2220,4,2,562110,65
18,2,1420,2,1,562110,99.39
18,2,1888,4,1,562110,95
18,2,1300,2,1,562110,90.87
18,2,1216,2,0,562110,97.16
18,2,3000,4,3,562110,342
18,2,1559,3,2,562110,63
18,2,1290,2,1,562110,87
18,2,2400,6,0,562110,245
18,2,905,1,1,562110,55
18,2,1069,2,0,562110,55
18,2,829,2,1,562110,22.8
18,2,1900,2,1,562110,200
18,2,1300,3,2,562110,60
18,2,1115,2,1,562110,33.45
18,2,2409,3,2,562110,360
18,2,2150,4,2,562110,125
18,2,1305,2,1,562110,69
18,2,1252,2,1,562110,56.32
18,2,2400,5,0,562110,250
18,2,1200,2,1,562110,46.13
18,2,1750,3,1,562110,130
18,2,545,1,1,562110,35
18,2,1375,2,1,562110,105
18,2,1313,2,2,562110,66.5
18,2,3640,4,1,562110,275
18,2,1693,3,2,562110,108
18,2,1160,2,1,562110,41.75
18,2,1200,3,0,562110,200
18,2,1255,2,2,562110,79
18,2,1000,4,1,562110,75
18,2,900,2,1,562110,45
18,2,1700,3,2,562110,90
18,2,1875,3,1,562110,180
18,2,1700,3,2,562110,88
18,2,1749,3,2,562110,115
18,2,1500,3,1,562110,65
18,2,1175,2,1,562110,48
18,2,1280,2,1,562110,60
18,2,1200,2,2,562110,50
18,2,1610,2,2,562110,115
18,2,1070,2,1,562109,46
18,2,1200,2,0,562109,66
18,2,1127,2,1,562109,50
18,2,1210,2,1,562109,102
18,2,600,2,1,562109,23
18,2,4190,4,3,562109,380
18,2,1364,2,2,562109,70
18,2,2268,3,0,562108,146
18,2,1150,2,2,562108,77.5
18,2,1146,2,1,562108,39.5
18,2,1345,2,2,562108,55
18,2,1110,2,2,562108,41
18,2,750,2,1,562108,36
18,2,1156,2,2,562108,49.5
18,2,1247,2,1,562108,59.8
18,2,1058,2,2,562108,60
18,2,950,2,1,562108,48
18,2,420,2,0,562108,35
18,2,600,2,2,562108,90
18,2,1520,2,1,562108,103
18,2,1215,2,2,562108,58.86
18,2,900,1,1,562108,30
18,2,2350,3,2,562108,174
18,2,1050,2,2,562108,46
18,2,1672,3,2,562107,150
18,2,2800,5,2,562107,125
18,2,1500,2,2,562107,65
18,2,1400,2,2,562107,65
18,2,2700,4,2,562107,130
18,2,920,2,1,562107,37.46
18,2,1200,3,2,562107,70
18,2,1250,3,2,562107,139
18,2,1817,4,0,562107,153
18,2,2043,6,0,562107,375
18,2,1140,2,2,562107,46
18,2,4346,4,1,562107,450
18,2,1464,2,2,562107,56
18,2,1468,3,2,562107,130
18,2,1555,2,1,562107,82
18,2,1200,4,2,562107,110
18,2,1150,2,0,562107,55
18,2,970,2,1,562107,35
18,2,2500,4,3,562107,95
18,2,1166,2,1,562107,53
18,2,2779,3,1,562107,317
18,2,1350,3,2,562107,58
18,2,900,2,3,562107,46
18,2,1300,2,2,562107,52
18,2,1190,3,1,562107,55
18,2,1495,2,2,562107,75
18,2,1224,2,2,562107,105
18,2,1350,2,2,562107,68
18,2,940,2,1,562107,56.8
18,2,1100,2,1,562107,55
18,2,1300,2,2,562107,61
18,2,1480,2,0,562107,145
18,2,1105,2,2,562107,46.37
18,2,2600,3,2,562107,200
18,2,1517,3,2,562107,76.3
18,2,3800,8,0,562107,200
18,2,1615,3,2,562107,89.75
18,2,1500,3,2,562107,65
18,2,1082,3,1,562107,50.5
18,2,1365,2,2,562107,73
18,2,1000,2,3,562107,25
18,2,1392,2,1,562107,98
18,2,1086,2,1,562107,33.66
18,2,1586,3,3,562107,93.94
18,2,1100,2,1,562107,60
18,2,1065,2,1,562107,30.75
18,2,1500,2,1,562107,120
18,2,1575,2,2,562107,120
18,2,1975,3,3,562107,123
18,2,820,2,2,562107,24
18,2,1745,3,2,562107,110
18,2,1223,2,1,562107,60
18,2,1200,2,1,562107,65
18,2,1200,2,0,562107,90
18,2,665,1,1,562107,46.08
18,2,1351,2,2,562107,70
18,2,1355,3,1,562107,83.87
18,2,3900,3,2,562107,300
18,2,1588,3,1,562106,75.55
18,2,900,2,1,562106,60
18,2,440,3,0,562106,50
18,2,3385,4,0,562106,260
18,2,1370,2,2,562106,75
18,2,1500,3,1,562106,71.8
18,2,2280,3,0,562106,285
18,2,1100,3,2,562106,53
18,2,1247,2,0,562106,53
18,2,2000,3,2,562106,200
18,2,1020.07,2,1,562106,68.38
18,2,1033,2,2,562106,32
18,2,1460,2,3,562106,73
18,2,1150,2,2,562106,52.8
